Run Number, Run Name, Image Name, Scale Factor, Base Seed, Replicate Seed, Max Degree of Parallelism, Number of Workers, Number of Tries, Number of Trials, Screenshot Number, Observation Time, Propagate Time, Search Time, CPU Usage
0, sequential-main, Skyline, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:06.96, 0:05.53, 0:13.40,0
0, sequential-main, Flowers, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:01.89, 0:03.48, 0:05.89,0
0, sequential-main, Platformer, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:03.01, 0:02.20, 0:05.59,0
0, parallel-main, Skyline, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:06.85, 0:05.36, 0:12.94,0
0, parallel-main, Flowers, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:01.88, 0:03.48, 0:05.87,0
0, parallel-main, Platformer, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:03.02, 0:02.21, 0:05.62,0
0, parallel-main, Skyline, 1, 1000, 325467165, 1, 2, 10, 50, 0, 0:12.44, 0:09.96, 0:23.85,0
0, parallel-main, Flowers, 1, 1000, 325467165, 1, 2, 10, 50, 0, 0:04.37, 0:07.37, 0:12.80,0
0, parallel-main, Platformer, 1, 1000, 325467165, 1, 2, 10, 50, 0, 0:06.10, 0:04.45, 0:11.37,0
0, parallel-main, Skyline, 1, 1000, 325467165, 1, 4, 10, 50, 0, 0:30.78, 0:24.18, 0:58.30,0
0, parallel-main, Flowers, 1, 1000, 325467165, 1, 4, 10, 50, 0, 0:12.37, 0:18.24, 0:33.01,0
0, parallel-main, Platformer, 1, 1000, 325467165, 1, 4, 10, 50, 0, 0:14.80, 0:10.78, 0:27.40,0
0, parallel-main, Skyline, 1, 1000, 325467165, 1, 8, 10, 50, 0, 1:31.27, 1:08.12, 2:48.95,0
0, parallel-main, Flowers, 1, 1000, 325467165, 1, 8, 10, 50, 0, 0:34.49, 0:47.81, 1:29.06,0
0, parallel-main, Platformer, 1, 1000, 325467165, 1, 8, 10, 50, 0, 0:43.81, 0:31.07, 1:20.31,0
0, parallel-propagate, Skyline, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:06.84, 0:05.30, 0:12.83,0
0, parallel-propagate, Flowers, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:01.88, 0:03.31, 0:05.67,0
0, parallel-propagate, Platformer, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:03.00, 0:02.25, 0:05.65,0
0, parallel-propagate, Skyline, 1, 1000, 325467165, 2, 1, 10, 50, 0, 0:06.78, 0:04.84, 0:12.00,0
0, parallel-propagate, Flowers, 1, 1000, 325467165, 2, 1, 10, 50, 0, 0:01.96, 0:02.93, 0:05.16,0
0, parallel-propagate, Platformer, 1, 1000, 325467165, 2, 1, 10, 50, 0, 0:04.65, 0:03.06, 0:08.13,0
0, parallel-propagate, Skyline, 1, 1000, 325467165, 4, 1, 10, 50, 0, 0:06.82, 0:04.53, 0:11.59,0
0, parallel-propagate, Flowers, 1, 1000, 325467165, 4, 1, 10, 50, 0, 0:01.55, 0:02.26, 0:03.96,0
0, parallel-propagate, Platformer, 1, 1000, 325467165, 4, 1, 10, 50, 0, 0:03.00, 0:01.93, 0:05.05,0
0, parallel-propagate, Skyline, 1, 1000, 325467165, 8, 1, 10, 50, 0, 0:06.75, 0:04.14, 0:11.09,0
0, parallel-propagate, Flowers, 1, 1000, 325467165, 8, 1, 10, 50, 0, 0:02.17, 0:02.42, 0:04.74,0
0, parallel-propagate, Platformer, 1, 1000, 325467165, 8, 1, 10, 50, 0, 0:02.99, 0:01.75, 0:04.86,0
1, sequential-main, Skyline, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:06.72, 0:05.71, 0:13.14,0
1, sequential-main, Flowers, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:22.99, 0:37.03, 1:05.03,0
1, sequential-main, Platformer, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:05.74, 0:03.49, 0:09.63,0
1, parallel-main, Skyline, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:06.73, 0:05.70, 0:13.14,0
1, parallel-main, Flowers, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:23.00, 0:35.65, 1:03.38,0
1, parallel-main, Platformer, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:05.75, 0:03.50, 0:09.65,0
1, parallel-main, Skyline, 1, 1000, 506683626, 1, 2, 10, 50, 0, 0:13.84, 0:11.44, 0:26.74,0
1, parallel-main, Flowers, 1, 1000, 506683626, 1, 2, 10, 50, 0, 0:26.29, 0:40.36, 1:11.97,0
1, parallel-main, Platformer, 1, 1000, 506683626, 1, 2, 10, 50, 0, 0:09.72, 0:06.25, 0:16.77,0
1, parallel-main, Skyline, 1, 1000, 506683626, 1, 4, 10, 50, 0, 0:30.01, 0:25.16, 0:58.74,0
1, parallel-main, Flowers, 1, 1000, 506683626, 1, 4, 10, 50, 0, 0:32.47, 0:49.61, 1:28.76,0
1, parallel-main, Platformer, 1, 1000, 506683626, 1, 4, 10, 50, 0, 0:19.45, 0:12.61, 0:33.81,0
1, parallel-main, Skyline, 1, 1000, 506683626, 1, 8, 10, 50, 0, 1:26.30, 1:08.00, 2:43.52,0
1, parallel-main, Flowers, 1, 1000, 506683626, 1, 8, 10, 50, 0, 0:49.55, 1:17.50, 2:18.25,0
1, parallel-main, Platformer, 1, 1000, 506683626, 1, 8, 10, 50, 0, 0:45.66, 0:32.25, 1:23.43,0
1, parallel-propagate, Skyline, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:06.73, 0:05.43, 0:12.82,0
1, parallel-propagate, Flowers, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:22.99, 0:36.09, 1:03.81,0
1, parallel-propagate, Platformer, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:05.76, 0:03.57, 0:09.73,0
1, parallel-propagate, Skyline, 1, 1000, 506683626, 2, 1, 10, 50, 0, 0:06.68, 0:05.08, 0:12.13,0
1, parallel-propagate, Flowers, 1, 1000, 506683626, 2, 1, 10, 50, 0, 0:22.90, 0:30.05, 0:55.43,0
1, parallel-propagate, Platformer, 1, 1000, 506683626, 2, 1, 10, 50, 0, 0:05.49, 0:02.96, 0:08.68,0
1, parallel-propagate, Skyline, 1, 1000, 506683626, 4, 1, 10, 50, 0, 0:06.67, 0:04.77, 0:11.68,0
