Run Number, Scale Factor, Execution Name, Base Seed, Replicate Seed, Max Degree of Parallelism, Number of Workers, Number of Tries, Number of Trials, Runtime (ms)
0,1, sequential-main,1000,325467165,1,1,10,50, 00:00:05.7529179
0,1, parallel-main,1000,325467165,1,1,10,50, 00:00:04.4627708
0,1, parallel-propagate,1000,325467165,1,1,10,50, 00:00:04.3421221
0,1, parallel-main,1000,325467165,1,1,10,50, 00:00:04.2714341
0,1, parallel-propagate,1000,325467165,2,1,10,50, 00:00:04.0188085
0,1, parallel-main,1000,325467165,1,2,10,50, 00:00:04.5057614
0,1, parallel-propagate,1000,325467165,4,1,10,50, 00:00:03.8525511
0,1, parallel-main,1000,325467165,1,4,10,50, 00:00:00.0254226
0,1, parallel-propagate,1000,325467165,8,1,10,50, 00:00:03.7021269
0,1, parallel-main,1000,325467165,1,8,10,50, 00:00:01.6665829
0,1, parallel-propagate,1000,325467165,16,1,10,50, 00:00:03.3716062
0,1, parallel-main,1000,325467165,1,16,10,50, 00:00:01.6594483
1,1, sequential-main,1000,506683626,1,1,10,50, 00:00:09.9609993
1,1, parallel-main,1000,506683626,1,1,10,50, 00:00:04.4514773
1,1, parallel-propagate,1000,506683626,1,1,10,50, 00:00:04.2750715
1,1, parallel-main,1000,506683626,1,1,10,50, 00:00:04.3773909
1,1, parallel-propagate,1000,506683626,2,1,10,50, 00:00:03.9453508
1,1, parallel-main,1000,506683626,1,2,10,50, 00:00:00.0156961
1,1, parallel-propagate,1000,506683626,4,1,10,50, 00:00:04.3569750
1,1, parallel-main,1000,506683626,1,4,10,50, 00:00:05.2444240
1,1, parallel-propagate,1000,506683626,8,1,10,50, 00:00:03.6420606
1,1, parallel-main,1000,506683626,1,8,10,50, 00:00:00.3090595
1,1, parallel-propagate,1000,506683626,16,1,10,50, 00:00:03.6937317
1,1, parallel-main,1000,506683626,1,16,10,50, 00:00:00.1863573
2,1, sequential-main,1000,1623525913,1,1,10,50, 00:00:07.6477611
2,1, parallel-main,1000,1623525913,1,1,10,50, 00:00:04.2538774
2,1, parallel-propagate,1000,1623525913,1,1,10,50, 00:00:04.3765241
2,1, parallel-main,1000,1623525913,1,1,10,50, 00:00:04.3469970
2,1, parallel-propagate,1000,1623525913,2,1,10,50, 00:00:03.9977513
2,1, parallel-main,1000,1623525913,1,2,10,50, 00:00:04.4837110
2,1, parallel-propagate,1000,1623525913,4,1,10,50, 00:00:03.8015271
2,1, parallel-main,1000,1623525913,1,4,10,50, 00:00:00.0392999
2,1, parallel-propagate,1000,1623525913,8,1,10,50, 00:00:03.5736517
2,1, parallel-main,1000,1623525913,1,8,10,50, 00:00:01.3854035
2,1, parallel-propagate,1000,1623525913,16,1,10,50, 00:00:03.4851512
2,1, parallel-main,1000,1623525913,1,16,10,50, 00:00:01.8906922
3,1, sequential-main,1000,2344573,1,1,10,50, 00:00:07.0150929
3,1, parallel-main,1000,2344573,1,1,10,50, 00:00:04.3306707
3,1, parallel-propagate,1000,2344573,1,1,10,50, 00:00:04.3373040
3,1, parallel-main,1000,2344573,1,1,10,50, 00:00:04.3330089
3,1, parallel-propagate,1000,2344573,2,1,10,50, 00:00:04.0403251
3,1, parallel-main,1000,2344573,1,2,10,50, 00:00:04.6693571
3,1, parallel-propagate,1000,2344573,4,1,10,50, 00:00:04.1674597
3,1, parallel-main,1000,2344573,1,4,10,50, 00:00:00.0056754
3,1, parallel-propagate,1000,2344573,8,1,10,50, 00:00:04.0359312
3,1, parallel-main,1000,2344573,1,8,10,50, 00:00:02.7254790
3,1, parallel-propagate,1000,2344573,16,1,10,50, 00:00:03.4829873
3,1, parallel-main,1000,2344573,1,16,10,50, 00:00:00.0280366
4,1, sequential-main,1000,1485571032,1,1,10,50, 00:00:05.6450053
4,1, parallel-main,1000,1485571032,1,1,10,50, 00:00:04.2891029
4,1, parallel-propagate,1000,1485571032,1,1,10,50, 00:00:04.3660301
4,1, parallel-main,1000,1485571032,1,1,10,50, 00:00:04.3402679
4,1, parallel-propagate,1000,1485571032,2,1,10,50, 00:00:04.0111391
4,1, parallel-main,1000,1485571032,1,2,10,50, 00:00:04.5251118
4,1, parallel-propagate,1000,1485571032,4,1,10,50, 00:00:03.8261454
4,1, parallel-main,1000,1485571032,1,4,10,50, 00:00:00.0096221
4,1, parallel-propagate,1000,1485571032,8,1,10,50, 00:00:03.6602340
4,1, parallel-main,1000,1485571032,1,8,10,50, 00:00:00.3046518
4,1, parallel-propagate,1000,1485571032,16,1,10,50, 00:00:03.5216014
4,1, parallel-main,1000,1485571032,1,16,10,50, 00:00:02.2913879
5,1, sequential-main,1000,980737479,1,1,10,50, 00:00:05.0667938
5,1, parallel-main,1000,980737479,1,1,10,50, 00:00:04.3050074
5,1, parallel-propagate,1000,980737479,1,1,10,50, 00:00:04.3769252
5,1, parallel-main,1000,980737479,1,1,10,50, 00:00:04.5191085
5,1, parallel-propagate,1000,980737479,2,1,10,50, 00:00:04.0472713
5,1, parallel-main,1000,980737479,1,2,10,50, 00:00:04.4870031
5,1, parallel-propagate,1000,980737479,4,1,10,50, 00:00:03.8716087
5,1, parallel-main,1000,980737479,1,4,10,50, 00:00:05.4536635
5,1, parallel-propagate,1000,980737479,8,1,10,50, 00:00:03.6634298
5,1, parallel-main,1000,980737479,1,8,10,50, 00:00:03.7868888
5,1, parallel-propagate,1000,980737479,16,1,10,50, 00:00:03.6003814
5,1, parallel-main,1000,980737479,1,16,10,50, 00:00:02.4727313
6,1, sequential-main,1000,2067435452,1,1,10,50, 00:00:07.4086733
6,1, parallel-main,1000,2067435452,1,1,10,50, 00:00:04.3147268
6,1, parallel-propagate,1000,2067435452,1,1,10,50, 00:00:04.5296447
6,1, parallel-main,1000,2067435452,1,1,10,50, 00:00:04.2591527
6,1, parallel-propagate,1000,2067435452,2,1,10,50, 00:00:04.0404449
6,1, parallel-main,1000,2067435452,1,2,10,50, 00:00:04.6070811
6,1, parallel-propagate,1000,2067435452,4,1,10,50, 00:00:03.7837395
6,1, parallel-main,1000,2067435452,1,4,10,50, 00:00:00.0631955
6,1, parallel-propagate,1000,2067435452,8,1,10,50, 00:00:03.9784057
6,1, parallel-main,1000,2067435452,1,8,10,50, 00:00:00.9705610
