Run Number,Scale Factor, Execution Name, Seed, Max Degree of Parallelism, Number of Workers, Number of Trials, Number of Main Loop Iterations, Runtime (ms)
0,1, sequential-main,1000,1,1,10,10, 00:00:51.5443651
0,1, parallel-main,1000,1,16,10,10, 00:02:41.4828718
0,1, parallel-propagate,1000,16,1,10,10, 00:00:47.1145191
1,1, sequential-main,1000,1,1,10,10, 00:00:46.8599104
1,1, parallel-main,1000,1,16,10,10, 00:02:40.2257005
1,1, parallel-propagate,1000,16,1,10,10, 00:00:59.5697571
2,1, sequential-main,1000,1,1,10,10, 00:01:01.8343374
2,1, parallel-main,1000,1,16,10,10, 00:02:47.8983874
2,1, parallel-propagate,1000,16,1,10,10, 00:00:50.5420701
3,1, sequential-main,1000,1,1,10,10, 00:00:45.9016152
3,1, parallel-main,1000,1,16,10,10, 00:02:35.8959787
3,1, parallel-propagate,1000,16,1,10,10, 00:01:02.4331414
4,1, sequential-main,1000,1,1,10,10, 00:00:50.6516380
4,1, parallel-main,1000,1,16,10,10, 00:02:39.3509651
4,1, parallel-propagate,1000,16,1,10,10, 00:01:11.1372085
5,1, sequential-main,1000,1,1,10,10, 00:00:56.3414152
5,1, parallel-main,1000,1,16,10,10, 00:02:47.7570836
5,1, parallel-propagate,1000,16,1,10,10, 00:01:31.3282649
6,1, sequential-main,1000,1,1,10,10, 00:00:51.1082651
6,1, parallel-main,1000,1,16,10,10, 00:02:39.6227903
6,1, parallel-propagate,1000,16,1,10,10, 00:01:13.0038998
7,1, sequential-main,1000,1,1,10,10, 00:00:48.2857322
7,1, parallel-main,1000,1,16,10,10, 00:02:40.5945606
7,1, parallel-propagate,1000,16,1,10,10, 00:00:54.2642820
8,1, sequential-main,1000,1,1,10,10, 00:00:45.9973545
8,1, parallel-main,1000,1,16,10,10, 00:02:39.7192666
8,1, parallel-propagate,1000,16,1,10,10, 00:01:19.8089239
9,1, sequential-main,1000,1,1,10,10, 00:00:53.7974711
9,1, parallel-main,1000,1,16,10,10, 00:02:35.7146843
9,1, parallel-propagate,1000,16,1,10,10, 00:01:04.4914481
