Run Number,Scale Factor, Execution Name, Seed, Max Degree of Parallelism, Number of Workers, Number of Trials, Number of Main Loop Iterations, Runtime (ms)
0,1, sequential-main,1000,1,1,10,10, 00:00:52.1133699
0,1, parallel-main,1000,1,4,10,10, 00:00:55.5815624
0,1, parallel-propagate,1000,4,1,10,10, 00:00:50.8914376
1,1, sequential-main,1000,1,1,10,10, 00:01:04.7400770
1,1, parallel-main,1000,1,4,10,10, 00:00:57.0848094
1,1, parallel-propagate,1000,4,1,10,10, 00:00:53.4562592
2,1, sequential-main,1000,1,1,10,10, 00:00:48.2434457
2,1, parallel-main,1000,1,4,10,10, 00:00:56.7880686
2,1, parallel-propagate,1000,4,1,10,10, 00:00:44.6138788
3,1, sequential-main,1000,1,1,10,10, 00:00:56.5277313
3,1, parallel-main,1000,1,4,10,10, 00:00:56.6365355
3,1, parallel-propagate,1000,4,1,10,10, 00:00:48.1611780
4,1, sequential-main,1000,1,1,10,10, 00:00:48.2592360
4,1, parallel-main,1000,1,4,10,10, 00:01:02.0481749
4,1, parallel-propagate,1000,4,1,10,10, 00:00:44.5580079
5,1, sequential-main,1000,1,1,10,10, 00:00:52.5199070
5,1, parallel-main,1000,1,4,10,10, 00:01:01.2293060
5,1, parallel-propagate,1000,4,1,10,10, 00:00:46.8054462
6,1, sequential-main,1000,1,1,10,10, 00:00:55.4991790
6,1, parallel-main,1000,1,4,10,10, 00:00:55.5778786
6,1, parallel-propagate,1000,4,1,10,10, 00:00:56.7276886
7,1, sequential-main,1000,1,1,10,10, 00:00:55.3195311
7,1, parallel-main,1000,1,4,10,10, 00:00:57.5730546
7,1, parallel-propagate,1000,4,1,10,10, 00:01:11.8512744
8,1, sequential-main,1000,1,1,10,10, 00:00:55.4338738
8,1, parallel-main,1000,1,4,10,10, 00:00:55.6545349
8,1, parallel-propagate,1000,4,1,10,10, 00:00:56.8722351
9,1, sequential-main,1000,1,1,10,10, 00:00:56.7473473
9,1, parallel-main,1000,1,4,10,10, 00:00:56.7040310
9,1, parallel-propagate,1000,4,1,10,10, 00:00:58.2433937
