Run Number, Execution Name, Seed, Max Degree of Parallelism, Number of Workers, Number of Trials, Number of Main Loop Iterations, Runtime (ms)
0, sequential-main, 1000, 1, 1, 10, 10, 00:00:51.4287695
0, parallel-main, 1000, 1, 8, 10, 10, 00:01:20.7839573
0, parallel-propagate, 1000, 8, 1, 10, 10, 00:01:15.3921846
1, sequential-main, 1000, 1, 1, 10, 10, 00:00:55.9526890
1, parallel-main, 1000, 1, 8, 10, 10, 00:01:21.0035056
1, parallel-propagate, 1000, 8, 1, 10, 10, 00:01:08.4828103
2, sequential-main, 1000, 1, 1, 10, 10, 00:01:05.7455728
2, parallel-main, 1000, 1, 8, 10, 10, 00:01:22.7226711
2, parallel-propagate, 1000, 8, 1, 10, 10, 00:00:47.0724098
3, sequential-main, 1000, 1, 1, 10, 10, 00:00:53.7671425
3, parallel-main, 1000, 1, 8, 10, 10, 00:01:32.3309544
3, parallel-propagate, 1000, 8, 1, 10, 10, 00:01:03.2108236
4, sequential-main, 1000, 1, 1, 10, 10, 00:00:53.6136203
4, parallel-main, 1000, 1, 8, 10, 10, 00:01:29.1627413
4, parallel-propagate, 1000, 8, 1, 10, 10, 00:00:55.7591889
5, sequential-main, 1000, 1, 1, 10, 10, 00:00:41.1230934
5, parallel-main, 1000, 1, 8, 10, 10, 00:01:26.2930475
5, parallel-propagate, 1000, 8, 1, 10, 10, 00:00:46.7743127
6, sequential-main, 1000, 1, 1, 10, 10, 00:00:51.2409487
6, parallel-main, 1000, 1, 8, 10, 10, 00:01:19.2008758
6, parallel-propagate, 1000, 8, 1, 10, 10, 00:00:52.1687365
7, sequential-main, 1000, 1, 1, 10, 10, 00:00:49.3278494
7, parallel-main, 1000, 1, 8, 10, 10, 00:01:22.2104350
7, parallel-propagate, 1000, 8, 1, 10, 10, 00:01:03.8686928
8, sequential-main, 1000, 1, 1, 10, 10, 00:00:55.0391494
8, parallel-main, 1000, 1, 8, 10, 10, 00:01:23.0529768
8, parallel-propagate, 1000, 8, 1, 10, 10, 00:01:01.6175025
9, sequential-main, 1000, 1, 1, 10, 10, 00:00:57.6214123
9, parallel-main, 1000, 1, 8, 10, 10, 00:01:24.5218933
9, parallel-propagate, 1000, 8, 1, 10, 10, 00:00:46.6119752
