Run Number,Scale Factor, Execution Name, Seed, Max Degree of Parallelism, Number of Workers, Number of Trials, Number of Main Loop Iterations, Runtime (ms)
0,2, sequential-main,1000,1,1,1,10, 00:06:59.9972119
0,2, parallel-main,1000,1,1,1,10, 00:05:55.9428534
0,2, parallel-propagate,1000,1,1,1,10, 00:07:12.5027243
1,2, sequential-main,1000,1,1,1,10, 00:07:24.1574381
1,2, parallel-main,1000,1,1,1,10, 00:06:42.4468134
1,2, parallel-propagate,1000,1,1,1,10, 00:06:51.3260139
2,2, sequential-main,1000,1,1,1,10, 00:07:14.2735534
2,2, parallel-main,1000,1,1,1,10, 00:06:26.5994212
2,2, parallel-propagate,1000,1,1,1,10, 00:06:21.7882681
3,2, sequential-main,1000,1,1,1,10, 00:07:20.6711764
3,2, parallel-main,1000,1,1,1,10, 00:07:30.6730931
3,2, parallel-propagate,1000,1,1,1,10, 00:06:14.4370674
4,2, sequential-main,1000,1,1,1,10, 00:06:23.3931520
4,2, parallel-main,1000,1,1,1,10, 00:06:33.5429543
4,2, parallel-propagate,1000,1,1,1,10, 00:07:09.2189120
5,2, sequential-main,1000,1,1,1,10, 00:05:57.4492548
5,2, parallel-main,1000,1,1,1,10, 00:06:26.8919306
5,2, parallel-propagate,1000,1,1,1,10, 00:07:23.2855911
6,2, sequential-main,1000,1,1,1,10, 00:07:04.6654628
6,2, parallel-main,1000,1,1,1,10, 00:06:57.6253178
6,2, parallel-propagate,1000,1,1,1,10, 00:07:01.5346150
7,2, sequential-main,1000,1,1,1,10, 00:06:37.0524039
7,2, parallel-main,1000,1,1,1,10, 00:06:44.7667413
7,2, parallel-propagate,1000,1,1,1,10, 00:07:16.4239704
8,2, sequential-main,1000,1,1,1,10, 00:07:29.2902144
8,2, parallel-main,1000,1,1,1,10, 00:07:24.0494838
8,2, parallel-propagate,1000,1,1,1,10, 00:07:18.3814043
9,2, sequential-main,1000,1,1,1,10, 00:07:05.4028816
9,2, parallel-main,1000,1,1,1,10, 00:08:13.6585427
9,2, parallel-propagate,1000,1,1,1,10, 00:07:24.7510951
