Run Number, Run Name, Image Name, Scale Factor, Base Seed, Replicate Seed, Max Degree of Parallelism, Number of Workers, Number of Tries, Number of Trials, Screenshot Number, Observation Time, Propagate Time, Search Time, CPU Usage
0, sequential-main, Skyline, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:07.14, 0:05.35, 0:13.24,
0, sequential-main, Flowers, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:01.92, 0:03.49, 0:05.92,
0, sequential-main, Platformer, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:03.06, 0:02.14, 0:05.58,
0, parallel-main, Skyline, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:07.09, 0:05.27, 0:13.09,
0, parallel-main, Flowers, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:01.91, 0:03.45, 0:05.86,
0, parallel-main, Platformer, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:03.04, 0:02.15, 0:05.58,
0, parallel-main, Skyline, 1, 1000, 325467165, 1, 2, 10, 50, 0, 0:11.59, 0:09.12, 0:22.20,
0, parallel-main, Flowers, 1, 1000, 325467165, 1, 2, 10, 50, 0, 0:04.03, 0:06.91, 0:12.03,
0, parallel-main, Platformer, 1, 1000, 325467165, 1, 2, 10, 50, 0, 0:05.84, 0:04.43, 0:11.10,
0, parallel-main, Skyline, 1, 1000, 325467165, 1, 4, 10, 50, 0, 0:27.24, 0:21.18, 0:51.69,
0, parallel-main, Flowers, 1, 1000, 325467165, 1, 4, 10, 50, 0, 0:10.96, 0:14.42, 0:27.68,
0, parallel-main, Platformer, 1, 1000, 325467165, 1, 4, 10, 50, 0, 0:11.17, 0:08.42, 0:21.49,
0, parallel-main, Skyline, 1, 1000, 325467165, 1, 8, 10, 50, 0, 1:22.56, 0:59.49, 2:31.59,
0, parallel-main, Flowers, 1, 1000, 325467165, 1, 8, 10, 50, 0, 0:27.98, 0:41.45, 1:16.35,
0, parallel-main, Platformer, 1, 1000, 325467165, 1, 8, 10, 50, 0, 0:39.14, 0:26.25, 1:11.10,
0, parallel-propagate, Skyline, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:07.08, 0:05.28, 0:13.08,
0, parallel-propagate, Flowers, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:01.90, 0:03.39, 0:05.80,
0, parallel-propagate, Platformer, 1, 1000, 325467165, 1, 1, 10, 50, 0, 0:03.06, 0:02.26, 0:05.72,
0, parallel-propagate, Skyline, 1, 1000, 325467165, 2, 1, 10, 50, 0, 0:07.04, 0:05.27, 0:13.03,
0, parallel-propagate, Flowers, 1, 1000, 325467165, 2, 1, 10, 50, 0, 0:01.90, 0:03.42, 0:05.84,
0, parallel-propagate, Platformer, 1, 1000, 325467165, 2, 1, 10, 50, 0, 0:03.05, 0:02.25, 0:05.69,
0, parallel-propagate, Skyline, 1, 1000, 325467165, 4, 1, 10, 50, 0, 0:07.09, 0:05.26, 0:13.06,
0, parallel-propagate, Flowers, 1, 1000, 325467165, 4, 1, 10, 50, 0, 0:01.89, 0:03.41, 0:05.81,
0, parallel-propagate, Platformer, 1, 1000, 325467165, 4, 1, 10, 50, 0, 0:03.04, 0:02.23, 0:05.67,
0, parallel-propagate, Skyline, 1, 1000, 325467165, 8, 1, 10, 50, 0, 0:07.07, 0:05.29, 0:13.09,
0, parallel-propagate, Flowers, 1, 1000, 325467165, 8, 1, 10, 50, 0, 0:01.90, 0:03.39, 0:05.80,
0, parallel-propagate, Platformer, 1, 1000, 325467165, 8, 1, 10, 50, 0, 0:03.05, 0:02.23, 0:05.68,
1, sequential-main, Skyline, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:06.99, 0:05.63, 0:13.35,
1, sequential-main, Flowers, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:04.45, 0:07.18, 0:12.67,
1, sequential-main, Platformer, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:05.90, 0:03.26, 0:09.56,
1, parallel-main, Skyline, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:07.01, 0:05.62, 0:13.35,
1, parallel-main, Flowers, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:04.50, 0:07.25, 0:12.77,
1, parallel-main, Platformer, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:05.88, 0:03.46, 0:09.74,
1, parallel-main, Skyline, 1, 1000, 506683626, 1, 2, 10, 50, 0, 0:14.14, 0:11.21, 0:26.75,
1, parallel-main, Flowers, 1, 1000, 506683626, 1, 2, 10, 50, 0, 0:05.87, 0:08.42, 0:15.86,
1, parallel-main, Platformer, 1, 1000, 506683626, 1, 2, 10, 50, 0, 0:08.16, 0:05.32, 0:14.32,
1, parallel-main, Skyline, 1, 1000, 506683626, 1, 4, 10, 50, 0, 0:30.62, 0:24.23, 0:58.18,
1, parallel-main, Flowers, 1, 1000, 506683626, 1, 4, 10, 50, 0, 0:09.77, 0:14.94, 0:27.00,
1, parallel-main, Platformer, 1, 1000, 506683626, 1, 4, 10, 50, 0, 0:14.00, 0:09.20, 0:25.05,
1, parallel-main, Skyline, 1, 1000, 506683626, 1, 8, 10, 50, 0, 1:10.57, 0:55.93, 2:15.88,
1, parallel-main, Flowers, 1, 1000, 506683626, 1, 8, 10, 50, 0, 0:22.00, 0:40.32, 1:09.69,
1, parallel-main, Platformer, 1, 1000, 506683626, 1, 8, 10, 50, 0, 0:28.67, 0:21.99, 0:56.26,
1, parallel-propagate, Skyline, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:06.98, 0:05.35, 0:13.06,
1, parallel-propagate, Flowers, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:04.44, 0:07.18, 0:12.69,
1, parallel-propagate, Platformer, 1, 1000, 506683626, 1, 1, 10, 50, 0, 0:05.88, 0:03.45, 0:09.73,
1, parallel-propagate, Skyline, 1, 1000, 506683626, 2, 1, 10, 50, 0, 0:06.98, 0:05.53, 0:13.21,
1, parallel-propagate, Flowers, 1, 1000, 506683626, 2, 1, 10, 50, 0, 0:04.47, 0:07.24, 0:12.75,
1, parallel-propagate, Platformer, 1, 1000, 506683626, 2, 1, 10, 50, 0, 0:05.88, 0:03.45, 0:09.74,
1, parallel-propagate, Skyline, 1, 1000, 506683626, 4, 1, 10, 50, 0, 0:07.00, 0:05.66, 0:13.39,
1, parallel-propagate, Flowers, 1, 1000, 506683626, 4, 1, 10, 50, 0, 0:04.46, 0:06.94, 0:12.38,
1, parallel-propagate, Platformer, 1, 1000, 506683626, 4, 1, 10, 50, 0, 0:05.86, 0:03.45, 0:09.70,
1, parallel-propagate, Skyline, 1, 1000, 506683626, 8, 1, 10, 50, 0, 0:06.99, 0:05.64, 0:13.35,
1, parallel-propagate, Flowers, 1, 1000, 506683626, 8, 1, 10, 50, 0, 0:04.44, 0:07.12, 0:12.57,
1, parallel-propagate, Platformer, 1, 1000, 506683626, 8, 1, 10, 50, 0, 0:05.88, 0:03.36, 0:09.63,
2, sequential-main, Skyline, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:04.74, 0:04.75, 0:10.22,
2, sequential-main, Flowers, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:02.18, 0:03.46, 0:06.16,
2, sequential-main, Platformer, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:04.23, 0:02.81, 0:07.44,
2, parallel-main, Skyline, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:04.74, 0:04.78, 0:10.24,
2, parallel-main, Flowers, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:02.19, 0:03.44, 0:06.15,
2, parallel-main, Platformer, 1, 1000, 1623525913, 1, 1, 10, 50, 0, 0:04.25, 0:02.82, 0:07.47,
2, parallel-main, Skyline, 1, 1000, 1623525913, 1, 2, 10, 50, 0, 0:08.78, 0:08.96, 0:19.15,
2, parallel-main, Flowers, 1, 1000, 1623525913, 1, 2, 10, 50, 0, 0:04.77, 0:06.89, 0:12.71,
2, parallel-main, Platformer, 1, 1000, 1623525913, 1, 2, 10, 50, 0, 0:05.06, 0:04.09, 0:09.98,
2, parallel-main, Skyline, 1, 1000, 1623525913, 1, 4, 10, 50, 0, 0:20.14, 0:20.41, 0:44.00,
2, parallel-main, Flowers, 1, 1000, 1623525913, 1, 4, 10, 50, 0, 0:09.70, 0:15.28, 0:27.61,
2, parallel-main, Platformer, 1, 1000, 1623525913, 1, 4, 10, 50, 0, 0:11.59, 0:09.41, 0:22.87,
2, parallel-main, Skyline, 1, 1000, 1623525913, 1, 8, 10, 50, 0, 0:58.73, 0:52.90, 2:01.04,
2, parallel-main, Flowers, 1, 1000, 1623525913, 1, 8, 10, 50, 0, 0:27.87, 0:41.57, 1:16.25,
