Run Number,Scale Factor, Execution Name, Seed, Max Degree of Parallelism, Number of Workers, Number of Trials, Number of Main Loop Iterations, Runtime (ms)
0,1, sequential-main,1000,1,1,10,10, 00:00:51.9965092
0,1, parallel-main,1000,1,2,10,10, 00:00:53.0971387
0,1, parallel-propagate,1000,2,1,10,10, 00:00:46.1402879
1,1, sequential-main,1000,1,1,10,10, 00:00:54.5231615
1,1, parallel-main,1000,1,2,10,10, 00:00:54.2061150
1,1, parallel-propagate,1000,2,1,10,10, 00:01:09.4671961
2,1, sequential-main,1000,1,1,10,10, 00:00:48.4262600
2,1, parallel-main,1000,1,2,10,10, 00:00:53.0042162
2,1, parallel-propagate,1000,2,1,10,10, 00:00:49.2811419
3,1, sequential-main,1000,1,1,10,10, 00:00:48.3231496
3,1, parallel-main,1000,1,2,10,10, 00:00:49.8625162
3,1, parallel-propagate,1000,2,1,10,10, 00:00:46.2458451
4,1, sequential-main,1000,1,1,10,10, 00:00:47.8793935
4,1, parallel-main,1000,1,2,10,10, 00:00:54.4564683
4,1, parallel-propagate,1000,2,1,10,10, 00:00:45.1812755
5,1, sequential-main,1000,1,1,10,10, 00:00:47.7619468
5,1, parallel-main,1000,1,2,10,10, 00:00:57.1988796
5,1, parallel-propagate,1000,2,1,10,10, 00:00:51.1513984
6,1, sequential-main,1000,1,1,10,10, 00:00:47.3058762
6,1, parallel-main,1000,1,2,10,10, 00:00:53.0946868
6,1, parallel-propagate,1000,2,1,10,10, 00:01:06.2029734
7,1, sequential-main,1000,1,1,10,10, 00:00:56.3813529
7,1, parallel-main,1000,1,2,10,10, 00:00:47.0370052
7,1, parallel-propagate,1000,2,1,10,10, 00:00:49.9341434
8,1, sequential-main,1000,1,1,10,10, 00:00:55.3565750
8,1, parallel-main,1000,1,2,10,10, 00:00:49.2965311
8,1, parallel-propagate,1000,2,1,10,10, 00:00:51.1400913
9,1, sequential-main,1000,1,1,10,10, 00:00:58.9642383
9,1, parallel-main,1000,1,2,10,10, 00:00:51.1145091
9,1, parallel-propagate,1000,2,1,10,10, 00:00:58.2500773
